location,year,cost_ref,cost_sap,incremental,deaths_avert,c_screen,c_sap,c_surgery
Indonesia,2086,20629239.4562231,302698952.973932,282069713.517709,351.023683306967,272239062.48,27588306.5095432,2871583.98438876
Indonesia,2087,20505241.3290744,301281301.195672,280776059.866597,342.588896086334,271446030.24,27020754.1438682,2814516.81180338
Indonesia,2088,20381810.5392336,299858627.16922,279476816.629987,334.460551665028,270635334.64,26464650.8255794,2758641.70364106
Indonesia,2089,20258684.282796,298428023.80103,278169339.518234,326.627046049518,269804635.76,25919558.0587919,2703829.98223773
Indonesia,2090,20135536.2981753,296985501.51612,276849965.217945,319.07970419636,268950479.6,25385063.9254921,2649957.99062823
Indonesia,2091,20012544.8700691,295535110.690809,275522565.82074,311.777591676055,268077486.16,24860726.1690215,2596898.36178777
Indonesia,2092,19889793.2429775,294075730.434056,274185937.191078,304.685555035628,267183665.76,24346999.9610821,2545064.71297338
Indonesia,2093,19767391.0791278,292610722.660934,272843331.581807,297.803980435718,266273142.96,23843315.2910939,2494264.4098405
Indonesia,2094,19645531.9396653,291144037.243086,271498505.30342,291.13025698922,265350338.88,23349296.7958499,2444401.56723585
Indonesia,2095,19524251.1033019,289677045.615552,270152794.51225,284.663404714606,264417018.8,22864640.7085081,2395386.10704338
Indonesia,2096,19403059.0733112,288202703.713444,268799644.640133,278.370185313579,263466544.88,22389033.5251186,2347125.30832572
Indonesia,2097,19282329.3863132,286725063.470524,267442734.084211,272.224086473148,262502290.16,21922818.4131818,2299954.89734204
Indonesia,2098,19162287.1469042,285248876.269775,266086589.122871,266.231650222694,261529542.56,21465610.1816021,2253723.52817314
Indonesia,2099,19042679.3435872,283770735.689392,264728056.345804,260.395899080958,260545273.12,21017112.7708369,2208349.79855462
Indonesia,2100,18923736.2696066,282294985.804995,263371249.535388,254.719966870112,259554194.24,20577041.0600786,2163750.50491622
