population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,4709,Aceh,2,Female,19,70-74 years,1,Number,2001,23424.45395238744,27673.517687447595,19371.783464217275
1,All Population,44,Population,4709,Aceh,1,Male,19,70-74 years,1,Number,2002,19008.75466673207,22443.1473583432,15766.60960019044
1,All Population,44,Population,4709,Aceh,2,Female,19,70-74 years,1,Number,2002,23988.03275138444,28332.87044251068,19916.045476550582
1,All Population,44,Population,4709,Aceh,1,Male,19,70-74 years,1,Number,2003,18992.354505268144,22250.695853684443,15861.386271795353
1,All Population,44,Population,4709,Aceh,2,Female,19,70-74 years,1,Number,2003,24366.128503771586,28510.463075510892,20355.67164043309
1,All Population,44,Population,4709,Aceh,1,Male,19,70-74 years,1,Number,2004,18073.194450871146,20975.15499607061,15247.571601059515
1,All Population,44,Population,4709,Aceh,2,Female,19,70-74 years,1,Number,2004,23403.685683479347,27145.14284281175,19714.10601123218
1,All Population,44,Population,4709,Aceh,1,Male,19,70-74 years,1,Number,2005,17172.324832355414,19706.06915151796,14778.552780531147
1,All Population,44,Population,4709,Aceh,2,Female,19,70-74 years,1,Number,2005,22394.105286267913,25686.655068120337,19277.769788459387
1,All Population,44,Population,4709,Aceh,1,Male,20,75-79 years,1,Number,2000,10719.395181763404,12870.92134848387,8673.78411925321
1,All Population,44,Population,4709,Aceh,2,Female,20,75-79 years,1,Number,2000,12138.04252133546,14559.80871351153,9854.019769454906
1,All Population,44,Population,4709,Aceh,1,Male,20,75-79 years,1,Number,2001,11033.293659396695,13051.933312244972,9124.825555291603
1,All Population,44,Population,4709,Aceh,2,Female,20,75-79 years,1,Number,2001,12653.349253174387,14963.963827387308,10449.412898496555
1,All Population,44,Population,4709,Aceh,1,Male,20,75-79 years,1,Number,2002,11396.500029318906,13460.986241099372,9454.05838401692
1,All Population,44,Population,4709,Aceh,2,Female,20,75-79 years,1,Number,2002,13393.204692219735,15824.378863276543,11098.283966897228
1,All Population,44,Population,4709,Aceh,1,Male,20,75-79 years,1,Number,2003,11785.143047257097,13816.622852748262,9845.406986842343
1,All Population,44,Population,4709,Aceh,2,Female,20,75-79 years,1,Number,2003,14314.976543428746,16747.972357514114,11946.490085889369
1,All Population,44,Population,4709,Aceh,1,Male,20,75-79 years,1,Number,2004,11614.408214330018,13484.857136800336,9794.252441684028
1,All Population,44,Population,4709,Aceh,2,Female,20,75-79 years,1,Number,2004,14578.20168246805,16919.269322401855,12280.276459101184
1,All Population,44,Population,4709,Aceh,1,Male,20,75-79 years,1,Number,2005,11371.418980710207,13053.294819648707,9790.084439981623
1,All Population,44,Population,4709,Aceh,2,Female,20,75-79 years,1,Number,2005,14759.796615978154,16936.76063132772,12682.455148758889
1,All Population,44,Population,4709,Aceh,1,Male,21,80+ years,1,Number,2000,8693.296717872301,10450.88031955614,7029.969798047641
1,All Population,44,Population,4709,Aceh,2,Female,21,80+ years,1,Number,2000,11063.047718796894,13264.917961970557,8956.77429667884
