location,year,cost_ref,cost_sap,incremental,deaths_avert,c_screen,c_sap,c_surgery
Uganda,2067,9704396.70749146,73891517.9574659,64187121.2499744,271.675521519635,33670657.6,31077794.9949494,9143065.36251646
Uganda,2068,9649163.34026587,73912406.7353769,64263243.3951111,269.707861427328,33964219.2,30857637.6231101,9090549.91226688
Uganda,2069,9587721.90425604,73902791.6695191,64315069.765263,267.583024652717,34247646.72,30623464.5510125,9031680.39850656
Uganda,2070,9519990.88969555,73869487.0965285,64349496.206833,265.297500306633,34527691.84,30375525.0525676,8966270.20396086
Uganda,2071,9445690.17003926,73803892.0937956,64358201.9237564,262.847920621178,34795361.92,30114403.8292919,8894126.34450373
Uganda,2072,9366682.28711615,73716036.3620398,64349354.0749236,260.281718828444,35057281.6,29841695.6635696,8817059.09847021
Uganda,2073,9282704.30846853,73600270.4731057,64317566.1646372,257.594693831386,35307462.4,29557947.3607897,8734860.71231605
Uganda,2074,9193714.54114312,73462695.1314432,64268980.5903001,254.784465357363,35551899.2,29263395.3856176,8647400.54582562
Uganda,2075,9099594.49628642,73302638.7081878,64203044.2119014,251.849183037646,35789359.68,28958722.5190199,8554556.50916787
Uganda,2076,9000221.94777802,73119868.8714625,64119646.9236845,248.786674654638,36019295.68,28644377.1510347,8456196.04042776
Uganda,2077,8898008.77919815,72913613.7703951,64015604.9911969,245.661794840506,36236035.52,28322710.0060532,8354868.24434185
Uganda,2078,8792778.83716954,72691154.2327385,63898375.3955689,242.467813830227,36447121.6,27993740.1457408,8250292.48699767
Uganda,2079,8684220.96072334,72443579.7109925,63759358.7502692,239.200095791738,36643425.28,27657895.9147927,8142258.51619987
Uganda,2080,8572296.39629379,72182017.5768392,63609721.1805454,235.854250671786,36836369.6,27315069.9631107,8030578.01372849
Uganda,2081,8456709.29875751,71896411.6179061,63439702.3191486,232.426601178974,37015509.76,26965831.4100582,7915070.44784783
Uganda,2082,8340709.16623055,71599760.8347477,63259051.6685172,228.99789470218,37188153.28,26612595.3034251,7799012.25132265
Uganda,2083,8223834.08597447,71288881.311248,63065047.2252736,225.557205974592,37351409.92,26255506.2850998,7681965.1061482
Uganda,2084,8105738.73129234,70960123.1506741,62854384.4193818,222.096831758999,37501834.24,25894670.3678687,7563618.5428054
Uganda,2085,7986267.51281115,70614878.0762148,62628610.5634036,218.612269027227,37641002.88,25530079.7343722,7443795.46184256
Uganda,2086,7865254.25665513,70255120.8606232,62389866.6039681,215.098692186929,37770999.36,25161823.0672717,7322298.43335147
Uganda,2087,7745947.68291694,69890943.9293093,62144996.2463924,211.63642587594,37896002.88,24792472.81066,7202468.23864935
Uganda,2088,7627684.60948178,69516421.9697032,61888737.3602215,208.210095136157,38010632.64,24422097.3112041,7083692.01849909
Uganda,2089,7510008.04211033,69133843.7679241,61623835.7258138,204.80695225991,38117833.6,24050546.0039751,6965464.16394903
Uganda,2090,7392579.35580483,68738931.5148701,61346352.1590653,201.4196015583,38213480.64,23677959.6335209,6847491.24134925
Uganda,2091,7275097.37316433,68331337.7259836,61056240.3528192,198.040354810434,38297548.16,23304324.4275697,6729465.13841392
Uganda,2092,7160639.19365416,67922294.8879682,60761655.6943141,194.743449554339,38375844.8,22931899.4012615,6614550.6867067
Uganda,2093,7048344.53507869,67506143.5856403,60457799.0505616,191.508433685956,38443671.04,22560553.7466144,6501918.7990259
Uganda,2094,6937550.52229665,67080355.8663716,60142805.344075,188.318906218721,38499430.08,22190019.5969497,6390906.18942195
Uganda,2095,6828071.57502517,66654585.6819049,59826514.1068797,185.166771579748,38553213.12,21820176.5230874,6281196.03881743
Uganda,2096,6719387.29892774,66214664.9958721,59495277.6969444,182.0434253215,38590913.6,21451321.7938078,6172429.60206432
Uganda,2097,6614105.96776898,65774218.9918674,59160113.0240984,179.009419036494,38621860.16,21085106.3532605,6067252.47860694
Uganda,2098,6511350.91747267,65330550.816144,58819199.8986713,176.043221916769,38644524.48,20721255.2655444,5964771.07059955
Uganda,2099,6410491.25911519,64887691.0312305,58477199.7721153,173.127506280284,38663909.76,20359519.2062847,5864262.06494577
Uganda,2100,6311203.41262125,64436344.4613468,58125141.0487256,170.257098829731,38670612.8,20000219.8671725,5765511.79417436
