location,year,cost_ref,cost_sap,incremental,deaths_avert,c_screen,c_sap,c_surgery
Indonesia,2051,34778876.1883181,418044403.726045,383265527.537727,2355.12878215743,282820310.96,123402349.798367,11821742.9676774
Indonesia,2052,34636042.2847211,418359291.055975,383723248.771253,2249.02789785991,283131214.08,123464541.429756,11763535.5462191
Indonesia,2053,34493191.7769056,418539953.974879,384046762.197973,2151.72547474431,283387037.12,123451950.601452,11700966.2534267
Indonesia,2054,34350309.0140899,418589805.266951,384239496.252861,2062.73485743349,283586875.44,123368303.187432,11634626.6395192
Indonesia,2055,34207653.2842636,418516813.01133,384309159.727066,1981.56932608552,283735038.4,123216679.56542,11565095.045909
Indonesia,2056,34065451.9449706,418329142.350146,384263690.405175,1907.73841883738,283836525.28,122999734.885748,11492882.1843973
Indonesia,2057,33922586.6719466,418020774.743834,384098188.071888,1840.67979082232,283886555.04,122716424.12104,11417795.5827938
Indonesia,2058,33779638.3339201,417605644.649728,383826006.315808,1779.92880417383,283895906.8,122369447.468606,11340290.3811221
Indonesia,2059,33636191.1821851,417082822.003278,383446630.821093,1725.02187635423,283860897.76,121961222.209699,11260702.0335789
Indonesia,2060,33492635.4987444,416463985.925391,382971350.426647,1675.50961706596,283790727.44,121493887.036065,11179371.4493261
Indonesia,2061,33348645.5174888,415749769.090955,382401123.573466,1630.95218349135,283683731.76,120969461.295254,11096576.0357003
Indonesia,2062,33204093.644509,414946926.783452,381742833.138943,1590.90020064835,283546419.2,120388240.647924,11012266.9355282
Indonesia,2063,33058972.520821,414061012.109213,381002039.588392,1554.94522255254,283382277.2,119752055.572404,10926679.3368095
Indonesia,2064,32912883.2937285,413092055.784388,380179172.49066,1522.69369490743,283189238.64,119062878.716052,10839938.4283361
Indonesia,2065,32765748.2638551,412044940.300636,379279192.036781,1493.7699544592,282970384.4,118322391.795353,10752164.1052833
Indonesia,2066,32617112.6044593,410918615.263614,378301502.659154,1467.81527782839,282722874.72,117532309.530153,10663431.0134603
Indonesia,2067,32466967.1244068,409716348.409152,377249381.284745,1444.50393731776,282447121.44,116695158.60472,10574068.3644324
Indonesia,2068,32315148.1852902,408442123.439926,376126975.254636,1423.50530028012,282145640.48,115812432.665543,10484050.2943831
Indonesia,2069,32161346.8359301,407097679.355095,374936332.519164,1404.51551472102,281818643.92,114885745.402269,10393290.0328256
Indonesia,2070,32005476.9971525,405687521.650483,373682044.65333,1387.25257065748,281468998.8,113916776.678252,10301746.1722303
Indonesia,2071,31847145.8109894,404211385.154302,372364239.343312,1371.45279513725,281095015.52,112907047.180074,10209322.4542277
Indonesia,2072,31686542.4700484,402670965.023417,370984422.553369,1356.89104571992,280693422.24,111860849.985407,10116692.7980106
Indonesia,2073,31523153.0583966,401064754.341963,369541601.283566,1343.32801866192,280262112.24,110779015.201784,10023626.9001789
Indonesia,2074,31356995.7512142,399399602.676529,368042606.925315,1330.55528712559,279807127.6,109662623.268778,9929851.80775111
Indonesia,2075,31187216.8835796,397668034.299907,366480817.416327,1318.38268893548,279320286.96,108512650.449123,9835096.890783
Indonesia,2076,31014221.0848736,395882396.138633,364868175.053759,1306.63906021578,278813162.32,107330147.081335,9739086.73729817
Indonesia,2077,30838053.1294331,394035785.149224,363197732.019791,1295.18706971304,278271068.24,106121674.413693,9643042.49553179
Indonesia,2078,30658806.2590923,392136772.98833,361477966.729238,1283.87825707573,277702964,104887311.276747,9546497.7115825
Indonesia,2079,30476000.7973793,390183368.925092,359707368.127712,1272.59750951327,277106276.48,103628010.277913,9449082.16717896
Indonesia,2080,30289817.1340794,388183657.473673,357893840.339593,1261.24324104817,276488688.96,102344519.51357,9350449.00010267
Indonesia,2081,30099658.0818844,386133056.615849,356033398.533964,1249.72907940991,275845247.04,101037565.843548,9250243.73230042
Indonesia,2082,29906673.7161269,384037982.608823,354131308.892696,1237.96700583445,275173190.16,99714708.0307419,9150084.41808127
Indonesia,2083,29710438.6393807,381899112.055183,352188673.415802,1225.88682143934,274474614.48,98375211.0677744,9049286.50740811
Indonesia,2084,29510808.3012764,379719800.778762,350208992.477486,1213.44974049928,273753299.6,97019188.1712716,8947313.00749065
Indonesia,2085,29307405.9511369,377498945.234516,348191539.283379,1200.62559246371,273008453.52,95646800.5154469,8843691.19906895
Indonesia,2086,29099805.3196069,375234857.986164,346135052.666557,1187.39586451121,272239062.48,94257898.8167399,8737896.68942403
Indonesia,2087,28889818.098682,372939712.549107,344049894.450425,1173.71079649866,271446030.24,92861657.2906193,8632025.01848763
Indonesia,2088,28677276.9436118,370617575.309819,341940298.366207,1159.56923796264,270635334.64,91456915.9003632,8525324.76945599
Indonesia,2089,28461740.7839669,368265591.410149,339803850.626182,1144.9917364699,269804635.76,90043659.4831864,8417296.16696248
Indonesia,2090,28242698.9539509,365879604.967137,337636906.013186,1129.99875435132,268950479.6,88621668.873498,8307456.49363855
Indonesia,2091,28020113.7890409,363463213.730899,335443099.941858,1114.61714212371,268077486.16,87190442.5650497,8195285.00584904
Indonesia,2092,27795664.3658831,361025532.535779,333229868.169896,1098.80784680947,267183665.76,85758911.560754,8082955.2150249
Indonesia,2093,27569096.5550686,358568507.278678,330999410.723609,1082.61582435077,266273142.96,84325668.4735776,7969695.8451
Indonesia,2094,27340550.2802321,356096572.209878,328756021.929645,1066.10079060415,265350338.88,82891081.9187948,7855151.41108263
Indonesia,2095,27110017.0063738,353611465.050318,326501448.043944,1049.31468087013,264417018.8,81455430.5890179,7739015.66129958
Indonesia,2096,26876934.2726961,351106248.97433,324229314.701634,1032.31118159436,263466544.88,80018749.9206238,7620954.17370617
Indonesia,2097,26643170.0559533,348594302.609499,321951132.553546,1015.06134387363,262502290.16,78589043.9195736,7502968.52992579
Indonesia,2098,26408701.680255,346079376.838119,319670675.157864,997.63327144829,261529542.56,77165380.7140149,7384453.56410356
Indonesia,2099,26173275.8565306,343558512.363336,317385236.506805,980.095615718722,260545273.12,75748084.5965266,7265154.64680883
Indonesia,2100,25937096.4716925,341036201.784236,315099105.312544,962.503972805436,259554194.24,74337183.357423,7144824.18681328
