location,sex,band,year,model_prev,model_inc,model_dwell,gbd_prev,gbd_inc,gbd_dwell
Indonesia,Female,15-24,2017,115637.176683324,13885.3269167869,8.3280125398792,100698.407864387,14643.7384182674,6.87655057664582
Indonesia,Female,15-24,2018,116155.553522321,13902.574800059,8.35496698941176,101507.373705887,14732.0830015708,6.89022548237504
Indonesia,Female,15-24,2019,116293.578323641,13919.5728983239,8.3546800733839,102122.20026202,14796.0719457261,6.90198051459993
Indonesia,Female,25-44,2000,288827.355282426,10233.1816835063,28.2245897918487,287102.429860953,10333.0083680565,27.7849799046426
Indonesia,Female,25-44,2001,300376.635519731,10404.4531681992,28.870006973343,292964.148932837,10511.0151140986,27.8721080459564
Indonesia,Female,25-44,2002,313319.323299443,10572.7382823749,29.6346428835525,298777.605015357,10686.8617138595,27.9574689946517
Indonesia,Female,25-44,2003,327635.325456035,10739.9719003383,30.5061622596717,304528.454118716,10859.8734890601,28.0416207818155
Indonesia,Female,25-44,2004,343264.409917653,10893.1096657823,31.5120677611392,310025.608133761,11021.1578417065,28.1300397459652
Indonesia,Female,25-44,2005,359760.724386721,11047.454783768,32.5650325281545,315211.479272514,11166.1524964311,28.2291934821114
Indonesia,Female,25-44,2006,370441.905576809,11182.8129652803,33.1260038710236,320156.601984789,11293.2409356107,28.3493997701978
Indonesia,Female,25-44,2007,381852.241276873,11303.8786784991,33.7806386761022,324840.074749037,11401.5056966409,28.4909803487395
Indonesia,Female,25-44,2008,393946.833608499,11407.170744798,34.5350168259863,329359.329612575,11496.0208175545,28.6498550097997
Indonesia,Female,25-44,2009,406449.087768859,11490.0363768267,35.3740470820958,333700.506666942,11578.4414280278,28.8208485348603
Indonesia,Female,25-44,2010,419009.991478623,11530.9062809943,36.3379929788566,337818.74689077,11651.8496179695,28.9927142871622
Indonesia,Female,25-44,2011,427798.414885096,11525.871047749,37.1163631028688,341417.543920513,11704.2454409021,29.1704019404261
Indonesia,Female,25-44,2012,436146.652166022,11483.874435218,37.9790509402015,344474.908493375,11732.4426710773,29.3608857209737
Indonesia,Female,25-44,2013,444152.268932858,11431.5005095078,38.8533656245257,347424.855234324,11756.328637567,29.552155774562
Indonesia,Female,25-44,2014,451691.116732371,11383.9355852442,39.6779403177447,350617.83658162,11794.516072567,29.727191384912
Indonesia,Female,25-44,2015,458726.045587492,11362.2302841869,40.3728875505994,354377.513942696,11866.6893593836,29.8632165392003
Indonesia,Female,25-44,2016,465194.736294583,11364.2075929815,40.9350790619037,358590.522336082,11964.7332044645,29.9706241842716
Indonesia,Female,25-44,2017,470861.327272866,11361.5583329456,41.4433754133436,362888.962472727,12067.4145276562,30.0718071498294
Indonesia,Female,25-44,2018,475783.62535535,11358.4722648243,41.8879946406866,367179.412769873,12173.2061538146,30.16291748701
Indonesia,Female,25-44,2019,480066.29726064,11368.5021924923,42.2277525334579,371387.90752198,12284.3239344161,30.2326696613308
Indonesia,Female,45-64,2000,103072.728005234,99.0588038402689,1040.5206201706,95148.2623124736,97.9967949546209,970.932389743293
Indonesia,Female,45-64,2001,108638.964962962,104.050133465517,1044.10212024347,97799.5129532431,102.282780964101,956.167910486993
Indonesia,Female,45-64,2002,114533.450568704,108.953255379107,1051.21641542679,100752.173778483,106.625544873364,944.91591014277
Indonesia,Female,45-64,2003,120767.015764074,113.816447366712,1061.06822483193,103929.936646041,110.936074450972,936.845270218864
Indonesia,Female,45-64,2004,127343.106712727,118.479567450679,1074.81069903245,107242.810892385,115.130097357922,931.492401669591
Indonesia,Female,45-64,2005,133946.092546303,123.227157467884,1086.98516868096,110780.438710064,119.230435338727,929.128862067337
Indonesia,Female,45-64,2006,141722.668451024,127.754820587356,1109.33323532882,114658.12863088,123.231304248208,930.430212764287
Indonesia,Female,45-64,2007,149984.612803591,132.00088075462,1136.2394852683,118912.512961349,127.15472716827,935.179647737247
Indonesia,Female,45-64,2008,158731.737888612,135.986040295398,1167.26494531206,123444.085827493,131.034557680484,942.072747927305
Indonesia,Female,45-64,2009,168000.118197521,139.82162288844,1201.53174256576,128184.289088624,134.955414947203,949.82694202209
Indonesia,Female,45-64,2010,177798.787913824,143.729172907895,1237.04036081639,133080.0346171,139.033751383488,957.177903155567
Indonesia,Female,45-64,2011,187713.056591589,147.484301860307,1272.76635020712,137958.350839973,143.055093050993,964.372172270693
Indonesia,Female,45-64,2012,198444.796039701,150.891979848721,1315.14475612723,142853.277228439,146.690252511851,973.843011258695
Indonesia,Female,45-64,2013,210016.132217744,154.070592074729,1363.1162792954,147780.752410938,150.105970039923,984.509492671297
Indonesia,Female,45-64,2014,222371.523086848,157.068019661453,1415.76575273662,152845.479008421,153.491424960657,995.791647954266
Indonesia,Female,45-64,2015,235279.58629934,159.90022034029,1471.41502243482,158220.249941827,157.063785756122,1007.36302248247
Indonesia,Female,45-64,2016,246567.278543922,162.647459009538,1515.96145458051,163938.345017833,160.812178076225,1019.43986443692
Indonesia,Female,45-64,2017,258615.295441947,165.17508292445,1565.70404484214,169832.540045275,164.586273442837,1031.87548082046
Indonesia,Female,45-64,2018,271429.14041348,167.43938833381,1621.0590776428,175817.133562364,168.471850001783,1043.59947113125
Indonesia,Female,45-64,2019,284956.779575652,169.520786984785,1680.95479406445,181761.543049744,172.426877714614,1054.13695045027
