location,sex,age,year,measure,source,value
Uganda,Female,5-9 years,2006,Incidence,model,6245.08685338798
Uganda,Female,10-14 years,2006,Incidence,model,4302.96429427365
Uganda,Female,15-19 years,2006,Incidence,model,4393.90507897776
Uganda,Female,20-24 years,2006,Incidence,model,3166.90509689945
Uganda,Female,25-29 years,2006,Incidence,model,2280.67124847928
Uganda,Female,30-34 years,2006,Incidence,model,1703.7223302923
Uganda,Female,35-39 years,2006,Incidence,model,1268.91515969401
Uganda,Female,40-44 years,2006,Incidence,model,700.681254157554
Uganda,Female,45-49 years,2006,Incidence,model,186.740332410366
Uganda,Female,50-54 years,2006,Incidence,model,0
Uganda,Female,55-59 years,2006,Incidence,model,0
Uganda,Female,60-64 years,2006,Incidence,model,0
Uganda,Female,65-69 years,2006,Incidence,model,0
Uganda,Female,70-74 years,2006,Incidence,model,0
Uganda,Female,75-79 years,2006,Incidence,model,0
Uganda,Female,80-84 years,2006,Incidence,model,0
Uganda,Female,85-89 years,2006,Incidence,model,0
Uganda,Female,90-94 years,2006,Incidence,model,0
Uganda,Female,95+ years,2006,Incidence,model,0
Uganda,Female,<1 year,2007,Incidence,model,0
Uganda,Female,12-23 months,2007,Incidence,model,648.161336106017
Uganda,Female,2-4 years,2007,Incidence,model,4258.93758235847
Uganda,Female,5-9 years,2007,Incidence,model,6552.11692459233
Uganda,Female,10-14 years,2007,Incidence,model,4606.53366586021
Uganda,Female,15-19 years,2007,Incidence,model,4625.33153213252
Uganda,Female,20-24 years,2007,Incidence,model,3295.61705097335
Uganda,Female,25-29 years,2007,Incidence,model,2328.2429929123
Uganda,Female,30-34 years,2007,Incidence,model,1717.4845714681
Uganda,Female,35-39 years,2007,Incidence,model,1285.5711949
Uganda,Female,40-44 years,2007,Incidence,model,714.734136105832
Uganda,Female,45-49 years,2007,Incidence,model,189.698938449794
Uganda,Female,50-54 years,2007,Incidence,model,0
Uganda,Female,55-59 years,2007,Incidence,model,0
Uganda,Female,60-64 years,2007,Incidence,model,0
Uganda,Female,65-69 years,2007,Incidence,model,0
Uganda,Female,70-74 years,2007,Incidence,model,0
Uganda,Female,75-79 years,2007,Incidence,model,0
Uganda,Female,80-84 years,2007,Incidence,model,0
Uganda,Female,85-89 years,2007,Incidence,model,0
Uganda,Female,90-94 years,2007,Incidence,model,0
Uganda,Female,95+ years,2007,Incidence,model,0
Uganda,Female,<1 year,2008,Incidence,model,0
Uganda,Female,12-23 months,2008,Incidence,model,662.535543124346
Uganda,Female,2-4 years,2008,Incidence,model,4373.48228742929
Uganda,Female,5-9 years,2008,Incidence,model,6896.93119069961
Uganda,Female,10-14 years,2008,Incidence,model,4952.19969930441
Uganda,Female,15-19 years,2008,Incidence,model,4882.4301610963
Uganda,Female,20-24 years,2008,Incidence,model,3434.91190232528
Uganda,Female,25-29 years,2008,Incidence,model,2383.01717132111
Uganda,Female,30-34 years,2008,Incidence,model,1732.67837161144
Uganda,Female,35-39 years,2008,Incidence,model,1295.73594712499
Uganda,Female,40-44 years,2008,Incidence,model,727.815064756128
Uganda,Female,45-49 years,2008,Incidence,model,192.468967906602
Uganda,Female,50-54 years,2008,Incidence,model,0
Uganda,Female,55-59 years,2008,Incidence,model,0
Uganda,Female,60-64 years,2008,Incidence,model,0
Uganda,Female,65-69 years,2008,Incidence,model,0
Uganda,Female,70-74 years,2008,Incidence,model,0
Uganda,Female,75-79 years,2008,Incidence,model,0
Uganda,Female,80-84 years,2008,Incidence,model,0
Uganda,Female,85-89 years,2008,Incidence,model,0
Uganda,Female,90-94 years,2008,Incidence,model,0
Uganda,Female,95+ years,2008,Incidence,model,0
Uganda,Female,<1 year,2009,Incidence,model,0
Uganda,Female,12-23 months,2009,Incidence,model,676.426246479621
Uganda,Female,2-4 years,2009,Incidence,model,4476.75951570158
Uganda,Female,5-9 years,2009,Incidence,model,7226.54908374851
Uganda,Female,10-14 years,2009,Incidence,model,5277.83956412064
Uganda,Female,15-19 years,2009,Incidence,model,5132.89292702196
Uganda,Female,20-24 years,2009,Incidence,model,3579.18624379772
Uganda,Female,25-29 years,2009,Incidence,model,2449.61739390184
Uganda,Female,30-34 years,2009,Incidence,model,1752.56944449804
Uganda,Female,35-39 years,2009,Incidence,model,1305.32370415688
Uganda,Female,40-44 years,2009,Incidence,model,742.131266338303
Uganda,Female,45-49 years,2009,Incidence,model,195.914461665128
Uganda,Female,50-54 years,2009,Incidence,model,0
Uganda,Female,55-59 years,2009,Incidence,model,0
Uganda,Female,60-64 years,2009,Incidence,model,0
Uganda,Female,65-69 years,2009,Incidence,model,0
Uganda,Female,70-74 years,2009,Incidence,model,0
Uganda,Female,75-79 years,2009,Incidence,model,0
Uganda,Female,80-84 years,2009,Incidence,model,0
Uganda,Female,85-89 years,2009,Incidence,model,0
Uganda,Female,90-94 years,2009,Incidence,model,0
Uganda,Female,95+ years,2009,Incidence,model,0
Uganda,Female,<1 year,2010,Incidence,model,0
Uganda,Female,12-23 months,2010,Incidence,model,691.398723417072
Uganda,Female,2-4 years,2010,Incidence,model,4571.00460834648
Uganda,Female,5-9 years,2010,Incidence,model,7483.90039210009
Uganda,Female,10-14 years,2010,Incidence,model,5511.41120504747
Uganda,Female,15-19 years,2010,Incidence,model,5339.4410062275
Uganda,Female,20-24 years,2010,Incidence,model,3724.93972629606
Uganda,Female,25-29 years,2010,Incidence,model,2535.20074308438
Uganda,Female,30-34 years,2010,Incidence,model,1781.94149509298
Uganda,Female,35-39 years,2010,Incidence,model,1320.44984070176
Uganda,Female,40-44 years,2010,Incidence,model,760.976956099704
Uganda,Female,45-49 years,2010,Incidence,model,201.079659006662
Uganda,Female,50-54 years,2010,Incidence,model,0
Uganda,Female,55-59 years,2010,Incidence,model,0
Uganda,Female,60-64 years,2010,Incidence,model,0
Uganda,Female,65-69 years,2010,Incidence,model,0
Uganda,Female,70-74 years,2010,Incidence,model,0
Uganda,Female,75-79 years,2010,Incidence,model,0
Uganda,Female,80-84 years,2010,Incidence,model,0
Uganda,Female,85-89 years,2010,Incidence,model,0
Uganda,Female,90-94 years,2010,Incidence,model,0
Uganda,Female,95+ years,2010,Incidence,model,0
Uganda,Female,<1 year,2011,Incidence,model,0
Uganda,Female,12-23 months,2011,Incidence,model,705.545774556262
Uganda,Female,2-4 years,2011,Incidence,model,4663.85975745553
Uganda,Female,5-9 years,2011,Incidence,model,7652.49876102007
Uganda,Female,10-14 years,2011,Incidence,model,5633.16936765005
Uganda,Female,15-19 years,2011,Incidence,model,5484.27446085438
Uganda,Female,20-24 years,2011,Incidence,model,3864.72850898012
Uganda,Female,25-29 years,2011,Incidence,model,2641.1915657867
Uganda,Female,30-34 years,2011,Incidence,model,1824.02093126407
Uganda,Female,35-39 years,2011,Incidence,model,1342.71949711156
Uganda,Female,40-44 years,2011,Incidence,model,783.780789584442
Uganda,Female,45-49 years,2011,Incidence,model,208.190089827363
Uganda,Female,50-54 years,2011,Incidence,model,0
Uganda,Female,55-59 years,2011,Incidence,model,0
Uganda,Female,60-64 years,2011,Incidence,model,0
Uganda,Female,65-69 years,2011,Incidence,model,0
Uganda,Female,70-74 years,2011,Incidence,model,0
Uganda,Female,75-79 years,2011,Incidence,model,0
Uganda,Female,80-84 years,2011,Incidence,model,0
Uganda,Female,85-89 years,2011,Incidence,model,0
Uganda,Female,90-94 years,2011,Incidence,model,0
Uganda,Female,95+ years,2011,Incidence,model,0
Uganda,Female,<1 year,2012,Incidence,model,0
Uganda,Female,12-23 months,2012,Incidence,model,716.59843607761
Uganda,Female,2-4 years,2012,Incidence,model,4755.18667223679
Uganda,Female,5-9 years,2012,Incidence,model,7765.3315342886
Uganda,Female,10-14 years,2012,Incidence,model,5690.78268308375
Uganda,Female,15-19 years,2012,Incidence,model,5587.19578747586
Uganda,Female,20-24 years,2012,Incidence,model,4003.76431386731
Uganda,Female,25-29 years,2012,Incidence,model,2760.4438620324
Uganda,Female,30-34 years,2012,Incidence,model,1875.21736370372
Uganda,Female,35-39 years,2012,Incidence,model,1368.87457481591
Uganda,Female,40-44 years,2012,Incidence,model,806.735729351276
Uganda,Female,45-49 years,2012,Incidence,model,216.305720508292
Uganda,Female,50-54 years,2012,Incidence,model,0
Uganda,Female,55-59 years,2012,Incidence,model,0
Uganda,Female,60-64 years,2012,Incidence,model,0
Uganda,Female,65-69 years,2012,Incidence,model,0
Uganda,Female,70-74 years,2012,Incidence,model,0
Uganda,Female,75-79 years,2012,Incidence,model,0
Uganda,Female,80-84 years,2012,Incidence,model,0
Uganda,Female,85-89 years,2012,Incidence,model,0
Uganda,Female,90-94 years,2012,Incidence,model,0
Uganda,Female,95+ years,2012,Incidence,model,0
Uganda,Female,<1 year,2013,Incidence,model,0
Uganda,Female,12-23 months,2013,Incidence,model,724.416808754793
Uganda,Female,2-4 years,2013,Incidence,model,4841.24241051414
Uganda,Female,5-9 years,2013,Incidence,model,7839.0578372142
Uganda,Female,10-14 years,2013,Incidence,model,5700.91545662624
Uganda,Female,15-19 years,2013,Incidence,model,5661.12165621405
Uganda,Female,20-24 years,2013,Incidence,model,4147.36531943299
Uganda,Female,25-29 years,2013,Incidence,model,2890.81111700495
Uganda,Female,30-34 years,2013,Incidence,model,1935.736144036
Uganda,Female,35-39 years,2013,Incidence,model,1399.06372586637
Uganda,Female,40-44 years,2013,Incidence,model,828.345905320691
Uganda,Female,45-49 years,2013,Incidence,model,225.015355463727
Uganda,Female,50-54 years,2013,Incidence,model,0
Uganda,Female,55-59 years,2013,Incidence,model,0
Uganda,Female,60-64 years,2013,Incidence,model,0
Uganda,Female,65-69 years,2013,Incidence,model,0
Uganda,Female,70-74 years,2013,Incidence,model,0
Uganda,Female,75-79 years,2013,Incidence,model,0
Uganda,Female,80-84 years,2013,Incidence,model,0
Uganda,Female,85-89 years,2013,Incidence,model,0
Uganda,Female,90-94 years,2013,Incidence,model,0
Uganda,Female,95+ years,2013,Incidence,model,0
Uganda,Female,<1 year,2014,Incidence,model,0
Uganda,Female,12-23 months,2014,Incidence,model,730.769946616894
Uganda,Female,2-4 years,2014,Incidence,model,4916.67074099627
Uganda,Female,5-9 years,2014,Incidence,model,7898.80196396775
Uganda,Female,10-14 years,2014,Incidence,model,5681.66505576612
Uganda,Female,15-19 years,2014,Incidence,model,5739.61192825953
Uganda,Female,20-24 years,2014,Incidence,model,4318.57367267668
Uganda,Female,25-29 years,2014,Incidence,model,3045.97513593227
Uganda,Female,30-34 years,2014,Incidence,model,2018.84980906975
Uganda,Female,35-39 years,2014,Incidence,model,1438.69881920147
Uganda,Female,40-44 years,2014,Incidence,model,851.056305042493
Uganda,Female,45-49 years,2014,Incidence,model,234.446836627639
Uganda,Female,50-54 years,2014,Incidence,model,0
Uganda,Female,55-59 years,2014,Incidence,model,0
Uganda,Female,60-64 years,2014,Incidence,model,0
Uganda,Female,65-69 years,2014,Incidence,model,0
Uganda,Female,70-74 years,2014,Incidence,model,0
Uganda,Female,75-79 years,2014,Incidence,model,0
Uganda,Female,80-84 years,2014,Incidence,model,0
Uganda,Female,85-89 years,2014,Incidence,model,0
Uganda,Female,90-94 years,2014,Incidence,model,0
Uganda,Female,95+ years,2014,Incidence,model,0
Uganda,Female,<1 year,2015,Incidence,model,0
Uganda,Female,12-23 months,2015,Incidence,model,737.164443466847
Uganda,Female,2-4 years,2015,Incidence,model,4977.14289621241
Uganda,Female,5-9 years,2015,Incidence,model,7964.18528071409
Uganda,Female,10-14 years,2015,Incidence,model,5653.22163721737
Uganda,Female,15-19 years,2015,Incidence,model,5830.8199194599
Uganda,Female,20-24 years,2015,Incidence,model,4500.84879462836
Uganda,Female,25-29 years,2015,Incidence,model,3211.20210194545
Uganda,Female,30-34 years,2015,Incidence,model,2118.65629184327
Uganda,Female,35-39 years,2015,Incidence,model,1482.47601193873
Uganda,Female,40-44 years,2015,Incidence,model,872.358321701231
Uganda,Female,45-49 years,2015,Incidence,model,243.649723879592
Uganda,Female,50-54 years,2015,Incidence,model,0
Uganda,Female,55-59 years,2015,Incidence,model,0
Uganda,Female,60-64 years,2015,Incidence,model,0
Uganda,Female,65-69 years,2015,Incidence,model,0
Uganda,Female,70-74 years,2015,Incidence,model,0
Uganda,Female,75-79 years,2015,Incidence,model,0
Uganda,Female,80-84 years,2015,Incidence,model,0
Uganda,Female,85-89 years,2015,Incidence,model,0
Uganda,Female,90-94 years,2015,Incidence,model,0
Uganda,Female,95+ years,2015,Incidence,model,0
Uganda,Female,<1 year,2016,Incidence,model,0
Uganda,Female,12-23 months,2016,Incidence,model,744.978050500678
Uganda,Female,2-4 years,2016,Incidence,model,5020.66166616434
Uganda,Female,5-9 years,2016,Incidence,model,8016.11994054818
Uganda,Female,10-14 years,2016,Incidence,model,5566.52044394119
Uganda,Female,15-19 years,2016,Incidence,model,5932.99366001751
Uganda,Female,20-24 years,2016,Incidence,model,4745.09608317864
Uganda,Female,25-29 years,2016,Incidence,model,3420.27002813586
Uganda,Female,30-34 years,2016,Incidence,model,2261.90124706184
Uganda,Female,35-39 years,2016,Incidence,model,1545.09367613114
Uganda,Female,40-44 years,2016,Incidence,model,897.361653794734
Uganda,Female,45-49 years,2016,Incidence,model,253.092278395566
Uganda,Female,50-54 years,2016,Incidence,model,0
Uganda,Female,55-59 years,2016,Incidence,model,0
Uganda,Female,60-64 years,2016,Incidence,model,0
Uganda,Female,65-69 years,2016,Incidence,model,0
Uganda,Female,70-74 years,2016,Incidence,model,0
Uganda,Female,75-79 years,2016,Incidence,model,0
Uganda,Female,80-84 years,2016,Incidence,model,0
Uganda,Female,85-89 years,2016,Incidence,model,0
Uganda,Female,90-94 years,2016,Incidence,model,0
Uganda,Female,95+ years,2016,Incidence,model,0
Uganda,Female,<1 year,2017,Incidence,model,0
Uganda,Female,12-23 months,2017,Incidence,model,752.618270920999
Uganda,Female,2-4 years,2017,Incidence,model,5045.36832649397
Uganda,Female,5-9 years,2017,Incidence,model,8024.01502389664
Uganda,Female,10-14 years,2017,Incidence,model,5387.28049797063
Uganda,Female,15-19 years,2017,Incidence,model,5990.16151686675
Uganda,Female,20-24 years,2017,Incidence,model,5003.58538811172
Uganda,Female,25-29 years,2017,Incidence,model,3635.87174434925
Uganda,Female,30-34 years,2017,Incidence,model,2417.32791772134
Uganda,Female,35-39 years,2017,Incidence,model,1609.65898284365
Uganda,Female,40-44 years,2017,Incidence,model,918.973606979827
Uganda,Female,45-49 years,2017,Incidence,model,260.653869504899
Uganda,Female,50-54 years,2017,Incidence,model,0
Uganda,Female,55-59 years,2017,Incidence,model,0
Uganda,Female,60-64 years,2017,Incidence,model,0
Uganda,Female,65-69 years,2017,Incidence,model,0
Uganda,Female,70-74 years,2017,Incidence,model,0
Uganda,Female,75-79 years,2017,Incidence,model,0
Uganda,Female,80-84 years,2017,Incidence,model,0
Uganda,Female,85-89 years,2017,Incidence,model,0
Uganda,Female,90-94 years,2017,Incidence,model,0
Uganda,Female,95+ years,2017,Incidence,model,0
Uganda,Female,<1 year,2018,Incidence,model,0
Uganda,Female,12-23 months,2018,Incidence,model,763.392985400373
Uganda,Female,2-4 years,2018,Incidence,model,5076.39000459988
Uganda,Female,5-9 years,2018,Incidence,model,8016.40790219435
Uganda,Female,10-14 years,2018,Incidence,model,5188.65509730369
Uganda,Female,15-19 years,2018,Incidence,model,6035.08473350104
