location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,pct_improvement
Uganda,Male,Rheumatic heart disease,50-54 years,411.545461263608,9117.75157147956,409.957356094094,7949.22168484848,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,55-59 years,403.52970816102,5377.29226968408,402.580612473514,4941.7559111559,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,60-64 years,934.867520530635,2988.1427392893,933.749837987533,2862.85276225084,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,65-69 years,1341.831010453,1441.57983680071,1338.84780654306,1407.71632559235,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,70-74 years,1515.29308188412,485.13387662692,1514.05948587013,463.25646611304,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,75-79 years,1293.91468660195,135.219716372549,1294.78328103154,119.486984043186,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,80-84 years,645.542695033451,49.9938017242267,646.611912076275,44.9279555617239,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,85-89 years,181.505250299298,12.7133439740444,181.675608562919,12.4994991359056,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,90-94 years,72.4198526155391,2.85732948150167,72.4147873227559,2.46030579056495,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,95+ years,341.513398024947,3.26221367040951,341.502843981031,3.17430914870161,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,<1 year,3288.24543255207,0,3288.24543255207,0,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
