location,sex,band,year,model_prev,model_inc,model_dwell,gbd_prev,gbd_inc,gbd_dwell
Uganda,Female,45-64,2015,78424.2969052322,243.649723879592,321.87312038157,34675.6725311944,240.919656005884,143.930441816451
Uganda,Female,45-64,2016,84476.0239462098,253.092278395566,333.775587630452,35918.8161139322,249.842703682721,143.765719728786
Uganda,Female,45-64,2017,90997.2482091449,260.653869504899,349.111441859622,37202.7741411039,258.045903795862,144.171147822345
Uganda,Female,45-64,2018,97964.5070661865,266.963732931085,366.958110716392,38562.3612401632,266.371714008525,144.768979633209
Uganda,Female,45-64,2019,105406.196618077,273.658838844347,385.173733336019,40024.3625615752,275.279781565427,145.395213313413
Uganda,Female,65+,2000,3068.58518806414,0,,2823.67148385374,0,
Uganda,Female,65+,2001,3217.61407131687,0,,2915.66708408642,0,
Uganda,Female,65+,2002,3363.43895951235,0,,3027.00689716298,0,
Uganda,Female,65+,2003,3501.5629086474,0,,3143.57155609517,0,
Uganda,Female,65+,2004,3636.92714279079,0,,3262.76037256116,0,
Uganda,Female,65+,2005,3769.13910427955,0,,3381.81489205671,0,
Uganda,Female,65+,2006,4006.2677804682,0,,3493.14837393059,0,
Uganda,Female,65+,2007,4230.76703307199,0,,3596.23188106238,0,
Uganda,Female,65+,2008,4454.12611628594,0,,3698.86099529158,0,
Uganda,Female,65+,2009,4689.74404915278,0,,3798.05252595879,0,
Uganda,Female,65+,2010,4945.25304998286,0,,3913.17958455138,0,
Uganda,Female,65+,2011,5399.4385590588,0,,4026.44715539893,0,
Uganda,Female,65+,2012,5900.33629686344,0,,4169.85346873725,0,
Uganda,Female,65+,2013,6471.40975094909,0,,4317.43867209306,0,
Uganda,Female,65+,2014,7114.66905887241,0,,4479.45670609499,0,
Uganda,Female,65+,2015,7799.49267450968,0,,4463.37126908409,0,
Uganda,Female,65+,2016,8807.83256597267,0,,4673.23302314498,0,
Uganda,Female,65+,2017,9848.10189203308,0,,4843.71795561013,0,
Uganda,Female,65+,2018,10924.9515661568,0,,4996.78065870497,0,
Uganda,Female,65+,2019,12044.8574960946,0,,5146.67398408569,0,
Uganda,Male,0-14,2000,39033.8155854623,14560.3605895641,2.6808275348235,38769.4352540655,15935.9356708211,2.43283080798656
Uganda,Male,0-14,2001,49204.1365493843,14909.0582730705,3.30028467581076,39858.2007428126,16393.8953229359,2.43128310616019
Uganda,Male,0-14,2002,58759.700444736,15123.377647488,3.88535562718662,40372.3091873975,16685.0767169837,2.41966578111701
Uganda,Male,0-14,2003,67548.3496947779,15277.3655288974,4.42146583237857,40606.260096169,16903.0660572473,2.40230144984606
Uganda,Male,0-14,2004,75508.8297853477,15472.2430445707,4.88027686534076,40927.8925463147,17157.5669235749,2.38541354544151
Uganda,Male,0-14,2005,82649.5279450708,15822.8411469912,5.22343156815343,41746.0728832238,17568.9404053889,2.37612923260979
Uganda,Male,0-14,2006,90322.1932148496,16437.1066811194,5.49501776481128,43547.8055376011,18263.2418260882,2.38445101654379
Uganda,Male,0-14,2007,97247.9596584216,17274.8376007172,5.62945724331348,46239.343714543,19197.247602814,2.40864444066268
Uganda,Male,0-14,2008,103492.98365863,18207.0603654644,5.68422258075985,49345.4377510273,20235.7492424675,2.43852783308212
Uganda,Male,0-14,2009,109024.043325797,19088.8805042752,5.71139011014184,52294.367299643,21220.7169714005,2.464307279067
Uganda,Male,0-14,2010,113738.669690266,19771.1896919677,5.75274788529662,54433.2844031067,21973.7081324257,2.47720066522509
Uganda,Male,0-14,2011,119460.395841181,20263.9629908933,5.89521387770336,55784.6056441399,22499.5104539728,2.47936975154452
Uganda,Male,0-14,2012,123996.371028646,20690.8951570615,5.99279876909183,56868.0472784964,22938.62877308,2.47913891632594
Uganda,Male,0-14,2013,127159.335945588,21058.019361967,6.03852308043991,57746.8102074326,23307.5839682159,2.47759743292916
Uganda,Male,0-14,2014,130539.787983749,21379.1099606516,6.10595053882075,58484.4737278854,23624.7594650709,2.47555848407068
Uganda,Male,0-14,2015,133992.508213121,21663.3390890314,6.18521953898437,59149.4171907911,23910.5484831529,2.47377918714275
Uganda,Male,0-14,2016,137173.227702672,21829.6208364633,6.28381174049272,59397.2301102241,24046.9271588765,2.4700548938245
Uganda,Male,0-14,2017,140004.354806418,21815.4473247457,6.41767059470785,59075.5190503115,23984.1857969272,2.46310296086349
Uganda,Male,0-14,2018,142374.856706758,21758.4391735824,6.54343151964779,58573.9019417115,23855.4676024771,2.45536591098426
Uganda,Male,0-14,2019,144339.449224096,21813.6710662854,6.61692609123382,58335.3862530933,23809.842937166,2.45005338368002
Uganda,Male,15-24,2000,55522.4299955716,6579.61581901287,8.43855196455855,54343.993103653,6894.90386497518,7.8817622649839
Uganda,Male,15-24,2001,60000.9089617642,6799.74437603791,8.82399479209917,55974.7325860054,7156.76590849578,7.82123284479067
Uganda,Male,15-24,2002,64895.0433760991,7076.99360589346,9.16986039411664,57266.1732642181,7437.77831362879,7.69936543541303
Uganda,Male,15-24,2003,70218.5544652175,7353.67755183129,9.54876712641975,58423.5988888348,7727.92719303178,7.56006072902898
